If found, please contact tlang@live.unc.edu
Firmware updated: 2023/03/14
OpenOBS SN:300

time,ambient_light,backscatter,pressure,water_temp,battery
1691539761,4,6684,9018,2083,422
1691540661,5,6639,9008,2079,412
1691541561,4,6667,9007,2076,412
1691542461,4,6563,9009,2072,413
1691543361,4,6502,8999,2069,412
1691544261,5,6712,8991,2067,412
1691545161,4,6793,8993,2065,414
1691546061,5,6332,8986,2063,414
1691546961,5,6470,8989,2061,414
1691547861,5,6365,8976,2059,412
1691548761,4,6262,8983,2057,414
1691549661,5,6408,8975,2055,413
1691550561,5,6345,8979,2053,413
1691551461,5,6374,8976,2051,414
1691552361,4,6312,8977,2048,414
1691553261,5,6385,8975,2045,414
1691554161,5,6315,8964,2045,412
1691555061,4,6259,8971,2043,412
1691555961,5,6368,8975,2042,413
1691556861,5,6217,8976,2040,413
1691557761,5,6240,8973,2037,412
1691558661,5,6242,8976,2037,413
1691559561,5,6194,8971,2036,412
1691560461,5,6208,8976,2035,412
1691561361,5,6137,8968,2034,413
1691562261,5,6150,8973,2034,413
1691563161,4,6233,8970,2033,412
1691564061,5,6274,8965,2034,413
1691564961,4,6180,8972,2037,414
1691565861,4,6138,8967,2041,413
1691566761,5,6232,8973,2045,413
1691567661,5,6301,8970,2055,414
1691568561,6,6199,8971,2066,413
1691569461,4,6231,8974,2077,413
1691570361,5,6248,8972,2089,415
1691571261,5,6191,8964,2101,415
1691572161,5,6284,8960,2113,414
1691573061,5,6312,8978,2127,414
1691573961,5,6253,8960,2151,414
1691574861,5,6312,8966,2177,414
1691575761,4,6314,8963,2204,413
1691576661,6,6234,8959,2228,415
1691577561,6,6268,8949,2248,414
1691578461,5,6287,8951,2245,414
1691579361,5,6301,8949,2242,415
1691580261,6,6307,8947,2251,415
1691581161,6,6379,8959,2254,415
1691582061,5,6450,8960,2251,415
1691582961,5,6632,8970,2250,415
1691583861,5,6791,8983,2252,415
1691584761,6,7016,8987,2249,414
1691585661,6,7075,8995,2252,414
1691586561,5,7256,9006,2269,414
1691587461,7,7425,9015,2286,415
1691588361,5,7581,9034,2293,415
1691589261,6,7632,9047,2300,414
1691590161,6,8435,9103,2308,414
1691591061,6,9619,9178,2311,414
1691591961,5,10117,9202,2316,415
1691592861,6,10105,9167,2316,415
1691593761,5,9971,9146,2329,415
1691594661,6,10967,9111,2334,415
1691595561,6,11742,9101,2346,415
1691596461,6,9719,9105,2351,415
1691597361,6,8728,9077,2354,415
1691598261,6,8136,9068,2363,415
1691599161,6,7972,9065,2367,414
1691600061,5,7557,9061,2361,415
1691600961,6,7238,9032,2355,415
1691601861,6,7000,9033,2347,413
1691602761,6,7014,9034,2335,413
1691603661,6,6730,9036,2324,413
1691604561,6,6712,9033,2319,413
1691605461,6,6755,9063,2311,415
1691606361,6,6861,9114,2296,415
1691607261,6,7393,9206,2281,413
1691608161,5,9217,9387,2265,413
1691609061,5,10939,9453,2250,415
1691609961,5,13840,9497,2241,413
1691610861,6,14037,9700,2222,415
1691611761,5,14068,9789,2200,417
1691612661,6,14928,9710,2194,415
1691613561,5,15448,9676,2185,414
1691614461,5,14276,9600,2176,415
1691615361,5,13135,9545,2170,414
1691616261,5,11902,9470,2166,415
1691617161,5,11168,9418,2162,415
1691618061,5,10235,9384,2158,415
1691618961,5,9817,9352,2153,415
1691619861,5,9485,9321,2148,415
1691620761,5,9182,9282,2143,415
1691621661,5,8671,9278,2137,415
1691622561,5,8294,9256,2132,415
1691623461,6,8081,9248,2126,414
1691624361,5,7973,9224,2120,414
1691625261,5,7644,9204,2114,415
